tavg,tmin,tmax,prcp,wdir,wspd,pres
27.2,24.0,34.0,6.867409948542024,29.0,7.4,1011.6
27.0,24.0,33.0,6.867409948542024,64.0,8.2,1011.8
26.8,23.0,33.0,6.867409948542024,69.0,8.8,1012.2
26.6,23.0,31.0,6.867409948542024,170.0,6.8,1011.8
28.0,22.0,33.0,6.867409948542024,331.0,6.5,1012.1
27.5,25.0,32.0,6.867409948542024,269.0,8.0,1011.1
27.8,24.0,33.0,6.867409948542024,235.0,6.6,1010.0
27.1,24.0,31.0,6.867409948542024,273.0,6.8,1010.0
26.3,24.0,32.0,6.867409948542024,117.0,8.6,1009.9
28.2,25.0,33.0,6.867409948542024,148.0,7.4,1008.9
28.4,25.0,31.0,6.867409948542024,108.0,7.6,1009.2
26.3,25.0,28.0,6.867409948542024,191.0,7.1,1010.2
26.4,24.0,32.0,6.867409948542024,158.0,8.6,1011.2
24.1,23.0,31.0,6.867409948542024,138.0,9.1,1011.9
24.9,23.0,30.0,6.867409948542024,148.0,10.3,1012.7
25.1,21.0,30.0,6.867409948542024,142.0,9.4,1011.4
25.6,22.0,31.0,6.867409948542024,149.0,12.8,1010.8
26.5,22.0,32.0,6.867409948542024,127.0,10.1,1011.8
26.4,21.0,31.0,6.867409948542024,356.0,5.5,1013.2
28.8,21.0,33.0,6.867409948542024,34.0,8.1,1013.1
26.8,22.0,33.0,6.867409948542024,93.0,7.3,1012.5
23.0,22.0,33.0,6.867409948542024,0.0,8.4,1011.9
25.7,23.0,31.0,6.867409948542024,158.0,10.8,1011.4
26.7,22.0,32.0,6.867409948542024,107.0,9.0,1010.1
26.8,24.0,32.0,6.867409948542024,170.0,10.3,1009.2
27.3,23.0,32.0,6.867409948542024,174.0,9.0,1007.7
28.0,25.0,33.0,6.867409948542024,166.0,10.6,1006.6
28.1,26.0,33.0,6.867409948542024,156.0,10.0,1007.3
28.6,25.0,34.0,6.867409948542024,134.0,14.7,1008.8
29.1,25.0,34.0,6.867409948542024,140.0,14.4,1011.5
28.7,25.0,34.0,6.867409948542024,138.0,13.2,1011.3
29.1,25.0,34.0,6.867409948542024,119.0,10.5,1011.1
29.3,25.0,36.0,6.867409948542024,118.0,14.4,1011.6
28.6,24.0,36.0,6.867409948542024,131.0,16.9,1011.4
29.1,23.0,35.0,6.867409948542024,133.0,10.4,1011.9
29.1,25.0,35.0,6.867409948542024,145.0,14.1,1011.0
29.2,25.0,35.0,6.867409948542024,115.0,10.2,1011.6
29.1,25.0,35.0,6.867409948542024,108.0,11.4,1011.4
29.3,25.0,35.0,6.867409948542024,99.0,9.3,1011.0
29.7,25.0,35.0,6.867409948542024,101.0,12.2,1010.9
30.1,26.0,35.0,6.867409948542024,120.0,10.3,1011.2
29.2,26.0,35.0,6.867409948542024,115.0,10.1,1011.0
28.2,24.0,35.0,6.867409948542024,105.0,10.6,1009.5
28.3,25.0,34.0,6.867409948542024,148.0,10.1,1009.4
27.9,25.0,32.0,6.867409948542024,149.0,12.8,1009.1
28.1,25.0,33.0,6.867409948542024,147.0,12.0,1009.1
28.7,26.0,32.0,6.867409948542024,150.0,12.6,1008.9
29.6,26.0,34.0,6.867409948542024,154.0,12.1,1008.0
29.1,27.0,33.0,6.867409948542024,149.0,11.5,1007.2
29.4,27.0,35.0,6.867409948542024,133.0,12.1,1007.5
30.4,26.0,36.0,6.867409948542024,75.0,9.2,1009.4
30.3,26.0,35.0,6.867409948542024,58.0,9.6,1009.3
30.7,27.0,35.0,6.867409948542024,108.0,12.1,1008.7
30.3,27.0,36.0,6.867409948542024,112.0,11.2,1008.6
29.9,26.0,36.7,6.867409948542024,119.0,15.1,1008.3
29.9,27.0,36.0,6.867409948542024,129.0,14.1,1008.1
29.8,26.0,36.0,6.867409948542024,140.0,12.9,1008.0
29.7,27.0,35.0,6.867409948542024,158.0,10.1,1007.7
29.8,27.0,36.0,6.867409948542024,192.0,10.9,1006.5
30.2,27.0,35.0,6.867409948542024,196.0,10.9,1005.5
30.6,27.0,35.0,6.867409948542024,195.0,11.9,1005.6
30.4,28.0,37.0,6.867409948542024,207.0,10.4,1006.4
29.7,24.0,34.0,6.867409948542024,145.0,11.0,1007.4
28.9,27.0,34.0,6.867409948542024,150.0,11.9,1008.5
29.7,26.0,34.0,6.867409948542024,120.0,10.3,1009.5
30.4,26.0,35.0,6.867409948542024,120.0,13.2,1010.0
30.4,26.0,36.0,6.867409948542024,115.0,10.4,1010.0
28.7,27.0,33.0,6.867409948542024,121.0,10.5,1009.3
28.6,26.0,31.0,6.867409948542024,156.0,10.1,1009.5
29.5,26.0,34.0,6.867409948542024,105.0,8.3,1010.8
29.6,27.0,35.0,6.867409948542024,127.0,12.3,1011.6
29.4,26.0,35.0,6.867409948542024,124.0,11.4,1011.7
29.9,27.0,34.0,6.867409948542024,144.0,12.7,1010.8
29.2,28.0,35.0,6.867409948542024,169.0,10.0,1010.4
29.4,24.0,35.0,6.867409948542024,200.0,7.8,1009.4
27.9,22.0,34.0,6.867409948542024,189.0,11.2,1009.6
28.7,25.0,33.0,6.867409948542024,164.0,7.2,1011.0
28.3,25.0,32.0,6.867409948542024,183.0,9.3,1010.8
28.4,26.0,33.0,6.867409948542024,203.0,7.8,1009.5
30.1,26.0,34.0,6.867409948542024,228.0,7.5,1009.1
29.2,27.0,33.0,6.867409948542024,225.0,10.5,1008.8
27.7,24.0,32.0,6.867409948542024,239.0,8.1,1009.0
28.2,25.0,33.0,6.867409948542024,258.0,8.3,1008.2
29.2,26.0,34.0,6.867409948542024,203.0,7.9,1008.2
29.8,26.0,34.0,6.867409948542024,230.0,9.5,1008.9
30.6,27.0,35.0,6.867409948542024,199.0,10.1,1008.5
29.7,27.0,34.0,6.867409948542024,168.0,9.4,1010.1
30.1,27.0,34.0,6.867409948542024,127.0,11.7,1010.8
30.2,28.0,35.0,6.867409948542024,121.0,11.6,1010.3
30.6,28.0,35.0,6.867409948542024,122.0,12.9,1010.0
30.6,28.0,34.0,6.867409948542024,127.0,14.0,1010.0
30.9,28.0,36.0,6.867409948542024,132.0,14.5,1009.4
30.7,28.0,35.0,6.867409948542024,126.0,13.5,1007.9
31.4,27.0,36.0,6.867409948542024,106.0,10.5,1007.3
31.7,28.0,37.0,6.867409948542024,110.0,14.9,1007.4
29.4,26.0,36.0,6.867409948542024,87.0,13.4,1009.4
30.2,25.0,34.0,6.867409948542024,32.0,9.5,1010.0
29.3,27.0,34.0,6.867409948542024,108.0,6.8,1008.8
30.9,28.0,36.0,6.867409948542024,132.0,11.6,1008.0
30.9,28.0,34.0,6.867409948542024,147.0,11.5,1007.8
31.1,28.0,35.0,6.867409948542024,154.0,10.7,1007.3
30.9,28.0,35.0,6.867409948542024,146.0,7.9,1006.9
31.3,29.0,36.0,6.867409948542024,129.0,9.0,1006.0
30.6,29.0,34.0,6.867409948542024,143.0,10.8,1006.4
28.5,27.0,34.0,6.867409948542024,111.0,7.9,1007.3
30.9,26.0,36.0,6.867409948542024,131.0,8.5,1006.9
28.8,26.0,34.0,6.867409948542024,152.0,8.3,1007.7
29.6,26.0,34.0,6.867409948542024,181.0,7.7,1008.3
28.9,27.0,35.0,6.867409948542024,216.0,6.5,1007.6
31.3,26.0,35.0,6.867409948542024,198.0,6.8,1007.6
28.0,25.0,34.0,6.867409948542024,218.0,7.8,1007.6
27.9,25.0,33.0,6.867409948542024,252.0,10.2,1007.0
27.1,25.0,32.0,6.867409948542024,252.0,8.7,1006.6
27.1,25.0,30.0,6.867409948542024,293.0,8.7,1007.3
24.8,23.0,28.0,6.867409948542024,260.0,5.7,1008.1
27.4,24.0,30.0,6.867409948542024,241.0,8.3,1007.9
27.4,25.0,31.0,6.867409948542024,203.0,5.9,1008.2
29.4,26.0,33.0,6.867409948542024,195.0,6.3,1009.5
29.3,26.0,34.0,6.867409948542024,212.0,8.5,1009.3
30.8,26.0,35.0,6.867409948542024,249.0,7.2,1007.8
30.9,27.0,34.0,6.867409948542024,264.0,12.6,1006.4
29.8,28.0,34.0,6.867409948542024,240.0,10.0,1006.8
28.4,24.0,34.0,6.867409948542024,227.0,9.1,1007.4
30.4,26.0,35.0,6.867409948542024,254.0,8.3,1008.0
31.0,27.0,35.0,6.867409948542024,245.0,11.0,1007.6
29.9,27.0,35.0,6.867409948542024,243.0,14.2,1007.9
28.8,27.0,33.0,6.867409948542024,241.0,11.0,1007.9
28.1,24.0,33.0,6.867409948542024,235.0,16.9,1008.4
26.1,24.0,29.0,6.867409948542024,235.0,9.2,1009.4
28.3,25.0,32.0,6.867409948542024,237.0,9.9,1008.0
28.0,26.0,32.0,6.867409948542024,261.0,13.6,1006.9
28.1,25.0,32.0,6.867409948542024,272.0,13.2,1005.8
28.2,25.0,32.0,6.867409948542024,258.0,16.3,1007.4
29.1,26.0,32.0,6.867409948542024,246.0,15.6,1008.2
28.8,27.0,34.0,6.867409948542024,249.0,14.3,1008.4
27.4,25.0,32.0,6.867409948542024,250.0,9.3,1007.8
29.3,26.0,33.0,6.867409948542024,262.0,9.5,1009.0
29.3,25.0,35.0,6.867409948542024,276.0,7.3,1009.6
30.2,26.0,34.0,6.867409948542024,269.0,8.9,1009.9
29.7,27.0,34.0,6.867409948542024,243.0,11.4,1009.2
29.3,26.0,35.0,6.867409948542024,253.0,12.2,1008.0
28.9,25.0,32.0,6.867409948542024,241.0,14.5,1007.6
28.0,25.0,32.0,6.867409948542024,233.0,14.6,1008.7
28.1,25.0,32.0,6.867409948542024,243.0,11.7,1009.2
29.7,26.0,33.0,6.867409948542024,254.0,9.6,1007.9
29.2,26.0,34.0,6.867409948542024,226.0,11.5,1007.5
29.8,27.0,33.0,6.867409948542024,200.0,10.3,1008.9
30.6,27.0,35.0,6.867409948542024,228.0,10.6,1009.8
30.4,27.0,35.0,6.867409948542024,241.0,13.9,1008.8
30.4,27.0,35.0,6.867409948542024,226.0,10.0,1007.9
29.4,27.0,34.0,6.867409948542024,233.0,11.4,1008.4
30.3,27.0,35.0,6.867409948542024,225.0,12.0,1008.5
30.9,28.0,35.0,6.867409948542024,238.0,12.3,1008.5
30.7,27.0,36.0,6.867409948542024,249.0,9.2,1007.0
28.8,27.0,32.0,6.867409948542024,225.0,10.0,1006.3
27.1,25.0,31.0,6.867409948542024,228.0,7.5,1005.9
27.6,25.0,31.0,6.867409948542024,241.0,11.4,1005.8
27.7,25.0,34.0,6.867409948542024,233.0,12.3,1007.1
27.3,25.0,31.0,6.867409948542024,239.0,11.2,1007.6
28.1,25.0,31.0,6.867409948542024,212.0,12.4,1007.2
29.7,26.0,33.0,6.867409948542024,169.0,9.2,1007.3
30.1,27.0,35.0,6.867409948542024,164.0,7.7,1008.5
29.3,26.0,35.0,6.867409948542024,140.0,8.7,1008.5
29.1,25.0,34.0,6.867409948542024,139.0,6.7,1007.5
28.0,25.0,33.0,6.867409948542024,203.0,7.4,1006.9
26.8,25.0,32.0,6.867409948542024,261.0,8.2,1008.1
29.2,24.0,34.0,6.867409948542024,291.0,9.6,1009.4
29.6,26.0,33.0,6.867409948542024,277.0,13.2,1007.4
27.7,26.0,33.0,6.867409948542024,263.0,17.7,1006.3
26.4,22.0,33.0,6.867409948542024,266.0,11.4,1007.6
27.6,25.0,33.0,6.867409948542024,254.0,9.7,1008.5
27.6,26.0,31.0,6.867409948542024,246.0,17.3,1008.0
27.2,23.0,32.0,6.867409948542024,240.0,15.2,1007.7
27.2,23.0,30.0,6.867409948542024,245.0,14.3,1006.9
29.0,27.0,33.0,6.867409948542024,252.0,21.5,1006.6
27.4,24.0,32.0,6.867409948542024,250.0,15.6,1007.6
29.0,26.0,33.0,6.867409948542024,248.0,18.8,1006.8
27.3,25.0,33.0,6.867409948542024,250.0,18.4,1006.0
27.6,25.0,31.0,6.867409948542024,257.0,18.2,1005.8
26.4,25.0,32.0,6.867409948542024,242.0,14.8,1007.0
28.7,25.0,32.0,6.867409948542024,250.0,16.3,1007.7
29.6,26.0,33.0,6.867409948542024,248.0,18.4,1007.7
28.8,26.0,34.0,6.867409948542024,251.0,18.9,1006.5
28.8,26.0,32.0,6.867409948542024,249.0,20.3,1007.0
29.4,27.0,32.0,6.867409948542024,250.0,22.8,1007.6
28.8,27.0,33.0,6.867409948542024,253.0,20.0,1008.3
28.9,27.0,33.0,6.867409948542024,242.0,22.6,1008.0
29.4,27.0,33.0,6.867409948542024,248.0,19.9,1008.4
29.8,27.0,34.0,6.867409948542024,257.0,15.8,1008.5
30.2,27.0,34.0,6.867409948542024,251.0,14.2,1008.4
30.3,27.0,34.0,6.867409948542024,254.0,14.0,1007.2
28.7,26.0,35.0,6.867409948542024,219.0,12.3,1007.0
27.7,26.0,32.0,6.867409948542024,210.0,9.4,1009.2
28.2,25.0,31.0,6.867409948542024,214.0,7.8,1010.7
28.2,26.0,34.0,6.867409948542024,253.0,8.9,1009.3
29.2,26.0,33.0,6.867409948542024,250.0,10.3,1007.9
28.3,26.0,31.0,6.867409948542024,281.0,5.3,1009.9
28.6,25.0,35.0,6.867409948542024,312.0,6.4,1011.6
27.5,23.0,34.0,6.867409948542024,301.0,5.9,1010.5
27.9,23.0,34.0,6.867409948542024,244.0,5.7,1008.5
28.6,24.0,35.0,6.867409948542024,284.0,6.1,1008.2
27.6,24.0,33.0,6.867409948542024,164.0,5.2,1009.0
28.1,23.0,34.0,6.867409948542024,198.0,4.1,1009.3
29.2,26.0,34.0,6.867409948542024,222.0,9.7,1008.3
27.6,25.0,32.0,6.867409948542024,162.0,9.1,1008.0
27.0,24.0,31.0,6.867409948542024,205.0,8.6,1007.1
27.4,25.0,31.0,6.867409948542024,225.0,10.3,1007.5
26.7,25.0,31.0,6.867409948542024,182.0,9.1,1007.9
28.9,25.0,33.0,6.867409948542024,268.0,6.5,1007.5
25.7,24.0,32.0,6.867409948542024,123.0,6.0,1007.7
27.8,24.0,32.0,6.867409948542024,298.0,7.0,1007.3
27.3,23.0,33.0,6.867409948542024,248.0,5.7,1008.1
27.7,25.0,34.0,6.867409948542024,181.0,4.2,1008.8
28.4,25.0,33.0,6.867409948542024,191.0,6.6,1008.4
27.9,25.0,31.0,6.867409948542024,202.0,6.6,1008.2
27.6,25.0,32.0,6.867409948542024,275.0,10.4,1007.7
26.9,25.0,31.0,6.867409948542024,252.0,8.9,1008.5
26.8,24.0,32.0,6.867409948542024,305.0,7.9,1008.6
27.9,24.0,32.0,6.867409948542024,274.0,7.0,1008.9
28.2,25.0,33.0,6.867409948542024,272.0,6.5,1007.8
27.8,26.0,32.0,6.867409948542024,223.0,14.0,1006.5
26.9,25.0,32.0,6.867409948542024,220.0,15.0,1007.8
27.4,25.0,30.0,6.867409948542024,240.0,12.8,1008.3
28.0,26.0,32.0,6.867409948542024,276.0,16.3,1006.7
27.4,24.0,31.0,6.867409948542024,259.0,16.4,1004.7
26.9,25.0,32.0,6.867409948542024,257.0,11.6,1005.8
26.6,24.0,30.0,6.867409948542024,235.0,6.6,1008.1
27.9,25.0,31.0,6.867409948542024,208.0,8.2,1009.9
27.7,25.0,32.0,6.867409948542024,287.0,4.1,1009.6
27.6,25.0,33.0,6.867409948542024,172.0,3.9,1009.0
27.8,25.0,34.0,6.867409948542024,77.0,5.6,1008.7
26.6,24.0,30.0,6.867409948542024,254.0,5.6,1008.4
27.4,24.0,32.0,6.867409948542024,248.0,10.3,1008.4
27.1,25.0,32.0,6.867409948542024,199.0,7.0,1008.2
27.4,25.0,32.0,6.867409948542024,234.0,9.7,1008.2
28.1,25.0,32.0,6.867409948542024,298.0,7.7,1008.5
27.0,24.0,33.0,6.867409948542024,227.0,9.5,1008.4
26.8,24.0,31.0,6.867409948542024,235.0,6.7,1008.2
26.3,25.0,32.0,6.867409948542024,72.0,4.1,1007.8
29.5,24.0,33.0,6.867409948542024,122.0,7.3,1007.9
28.8,26.0,34.0,6.867409948542024,79.0,5.8,1008.1
28.6,26.0,33.0,6.867409948542024,259.0,5.7,1007.7
27.7,25.0,32.0,6.867409948542024,229.0,5.6,1008.7
27.3,25.0,32.0,6.867409948542024,305.0,5.7,1009.3
25.8,24.0,29.0,6.867409948542024,306.0,8.9,1009.6
27.6,24.0,30.0,6.867409948542024,3.0,3.5,1008.6
27.8,25.0,32.0,6.867409948542024,331.0,4.3,1007.0
27.4,24.0,32.0,6.867409948542024,232.0,6.3,1005.9
26.8,25.0,29.0,6.867409948542024,262.0,5.6,1004.7
26.8,24.0,30.0,6.867409948542024,274.0,8.3,1003.9
28.2,25.0,31.0,6.867409948542024,258.0,14.6,1004.8
27.1,25.0,31.0,6.867409948542024,257.0,13.1,1006.3
28.4,26.0,32.0,6.867409948542024,249.0,12.9,1005.8
26.4,24.0,30.0,6.867409948542024,253.0,13.7,1005.5
27.7,25.0,31.0,6.867409948542024,257.0,16.9,1005.0
28.6,26.0,32.0,6.867409948542024,260.0,17.0,1004.0
28.8,27.0,32.0,6.867409948542024,230.0,13.6,1005.2
27.8,25.0,34.0,6.867409948542024,268.0,8.6,1006.5
26.2,25.0,29.0,6.867409948542024,315.0,6.3,1007.7
26.7,23.0,30.0,6.867409948542024,305.0,10.1,1008.6
28.8,26.0,32.0,6.867409948542024,142.0,7.0,1010.0
29.1,26.0,33.0,6.867409948542024,150.0,8.1,1012.3
26.8,25.0,32.0,6.867409948542024,314.0,4.7,1012.3
27.8,25.0,32.0,6.867409948542024,89.0,6.4,1011.7
27.6,25.0,32.0,6.867409948542024,85.0,6.2,1011.9
27.6,24.0,34.0,6.867409948542024,10.0,6.1,1011.7
27.3,24.0,33.0,6.867409948542024,293.0,5.4,1010.7
27.3,24.0,31.0,6.867409948542024,6.0,6.3,1009.1
28.1,25.0,32.0,6.867409948542024,17.0,8.9,1008.3
26.1,24.0,29.0,6.867409948542024,323.0,8.7,1008.6
29.1,24.0,33.0,6.867409948542024,120.0,9.4,1010.3
28.8,26.0,35.0,6.867409948542024,112.0,8.7,1011.5
28.6,25.0,33.0,6.867409948542024,88.0,8.4,1011.6
28.1,25.0,33.0,6.867409948542024,71.0,8.3,1011.7
28.9,25.0,34.0,6.867409948542024,74.0,6.9,1010.9
29.3,25.0,34.0,6.867409948542024,85.0,6.2,1010.8
29.5,25.0,34.0,6.867409948542024,81.0,5.1,1009.9
29.3,25.0,34.0,6.867409948542024,111.0,11.5,1009.8
28.8,25.0,33.0,6.867409948542024,90.0,8.4,1008.7
29.5,25.0,34.0,6.867409948542024,108.0,7.7,1006.9
29.2,25.0,34.0,6.867409948542024,109.0,7.1,1007.1
29.6,26.0,34.0,6.867409948542024,109.0,12.0,1008.3
28.1,25.0,32.0,6.867409948542024,22.0,4.4,1009.0
28.6,25.0,33.0,6.867409948542024,27.0,9.2,1008.9
26.6,25.0,31.0,6.867409948542024,20.0,5.8,1009.3
28.1,24.0,34.0,6.867409948542024,22.0,6.3,1009.3
28.7,25.0,33.0,6.867409948542024,85.0,10.0,1009.5
26.7,25.0,30.0,6.867409948542024,337.0,5.6,1010.0
27.9,24.0,32.0,6.867409948542024,69.0,7.3,1008.5
27.7,25.0,32.0,6.867409948542024,56.0,6.8,1008.9
27.9,25.0,34.0,6.867409948542024,17.0,4.4,1009.0
27.8,25.0,32.0,6.867409948542024,32.0,5.0,1008.3
28.6,25.0,33.0,6.867409948542024,322.0,6.2,1007.0
26.8,25.0,31.0,6.867409948542024,7.0,5.0,1007.2
29.3,24.0,33.0,6.867409948542024,64.0,4.9,1008.0
28.1,26.0,32.0,6.867409948542024,99.0,12.3,1009.0
27.4,24.0,33.0,6.867409948542024,1.0,3.2,1009.1
28.9,24.0,34.0,6.867409948542024,33.0,4.2,1009.6
27.8,25.0,32.0,6.867409948542024,23.0,7.1,1010.0
27.9,24.0,32.0,6.867409948542024,20.0,8.4,1009.2
25.6,25.0,28.0,6.867409948542024,19.0,11.9,1009.4
27.2,24.0,31.0,6.867409948542024,352.0,6.1,1008.4
26.9,25.0,30.0,6.867409948542024,47.0,6.0,1007.8
25.7,25.0,29.0,6.867409948542024,77.0,8.7,1009.1
26.6,24.0,31.0,6.867409948542024,24.0,7.8,1010.3
26.3,22.0,31.0,6.867409948542024,3.0,6.2,1011.3
26.1,22.0,31.0,6.867409948542024,354.0,7.8,1012.8
23.8,21.0,29.0,6.867409948542024,356.0,7.5,1012.9
25.7,19.0,30.0,6.867409948542024,348.0,7.9,1012.0
26.7,21.0,31.0,6.867409948542024,2.0,7.2,1011.3
26.2,22.0,31.0,6.867409948542024,354.0,6.3,1011.9
28.1,21.0,32.0,6.867409948542024,13.0,4.7,1012.0
26.8,25.0,31.0,6.867409948542024,12.0,5.0,1012.2
27.1,22.0,33.0,6.867409948542024,30.0,7.0,1012.0
26.7,23.0,32.0,6.867409948542024,327.0,6.8,1012.2
27.7,23.0,32.0,6.867409948542024,326.0,5.9,1011.3
27.6,23.0,33.0,6.867409948542024,55.0,9.5,1010.7
27.7,23.0,32.0,6.867409948542024,43.0,7.6,1009.5
28.9,24.0,34.0,6.867409948542024,34.0,6.9,1009.0
28.8,26.0,32.0,6.867409948542024,40.0,4.6,1009.4
27.7,25.0,32.0,6.867409948542024,46.0,5.2,1009.7
28.1,23.0,33.0,6.867409948542024,18.0,9.3,1009.5
26.1,24.0,31.0,6.867409948542024,358.0,14.2,1009.7
26.7,23.0,31.0,6.867409948542024,331.0,7.7,1011.8
27.8,23.0,33.0,6.867409948542024,126.0,7.7,1011.9
26.6,25.0,31.0,6.867409948542024,95.0,6.3,1011.5
27.2,25.0,32.0,6.867409948542024,30.0,6.3,1011.0
26.1,23.0,32.0,6.867409948542024,5.0,6.0,1011.2
27.6,23.0,33.0,6.867409948542024,357.0,5.4,1011.6
28.0,24.0,32.0,6.867409948542024,285.0,6.1,1012.5
27.3,24.0,33.0,6.867409948542024,345.0,5.2,1012.9
26.8,23.0,31.0,6.867409948542024,32.0,5.2,1012.3
27.6,24.0,32.0,6.867409948542024,16.0,6.9,1012.2
27.9,24.0,33.0,6.867409948542024,48.0,11.6,1013.4
27.4,23.0,33.0,6.867409948542024,38.0,9.5,1013.3
27.9,23.0,33.0,6.867409948542024,55.0,7.8,1012.9
28.0,23.0,33.0,6.867409948542024,59.0,6.5,1012.3
27.3,24.0,32.0,6.867409948542024,45.0,6.6,1011.3
27.2,24.0,32.0,6.867409948542024,40.0,6.4,1011.5
27.9,24.0,32.0,6.867409948542024,94.0,6.4,1011.3
27.5,24.0,31.0,6.867409948542024,54.0,4.6,1011.8
28.0,26.0,33.0,6.867409948542024,34.0,5.9,1012.3
27.6,24.0,33.0,6.867409948542024,51.0,6.9,1012.0
28.0,23.0,33.0,6.867409948542024,78.0,7.3,1011.2
27.9,25.0,32.0,6.867409948542024,111.0,6.6,1011.6
27.4,24.0,34.0,6.867409948542024,98.0,8.1,1012.6
26.7,22.0,32.0,6.867409948542024,97.0,7.7,1013.1
26.2,21.0,30.0,6.867409948542024,150.0,6.3,1013.2
26.8,22.0,33.0,6.867409948542024,66.0,7.4,1013.3
27.1,21.0,34.0,6.867409948542024,84.0,6.3,1012.6
28.2,22.0,33.0,6.867409948542024,106.0,9.4,1012.3
27.4,24.0,32.0,6.867409948542024,112.0,5.9,1012.3
27.5,23.0,33.0,6.867409948542024,71.0,6.0,1011.6
27.0,24.0,32.0,6.867409948542024,217.0,8.3,1010.4
26.9,23.0,32.0,6.867409948542024,20.0,6.8,1010.3
27.6,23.0,34.0,6.867409948542024,149.0,7.2,1010.6
27.4,23.0,34.0,6.867409948542024,159.0,10.1,1009.6
27.9,25.0,33.0,6.867409948542024,149.0,9.4,1009.7
28.1,25.0,33.0,6.867409948542024,159.0,7.3,1009.6
27.6,25.0,31.0,6.867409948542024,155.0,10.4,1009.8
27.2,24.0,33.0,6.867409948542024,107.0,8.3,1010.0
27.7,24.0,35.0,6.867409948542024,12.0,7.7,1009.5
28.3,24.0,33.0,6.867409948542024,268.0,6.8,1010.3
27.8,25.0,33.0,6.867409948542024,211.0,9.4,1009.8
27.6,26.0,32.0,6.867409948542024,163.0,12.3,1010.2
28.6,25.0,34.0,6.867409948542024,138.0,14.2,1010.0
29.1,25.0,35.0,6.867409948542024,128.0,13.5,1010.3
29.2,24.0,35.0,6.867409948542024,134.0,13.5,1010.8
28.9,24.0,36.0,6.867409948542024,124.0,10.6,1010.6
28.7,24.0,35.0,6.867409948542024,73.0,7.2,1009.9
28.8,24.0,35.0,6.867409948542024,64.0,7.0,1010.3
28.8,23.0,33.0,6.867409948542024,64.0,8.0,1010.9
29.6,24.0,35.0,6.867409948542024,81.0,9.1,1010.5
28.6,27.0,33.0,6.867409948542024,116.0,11.4,1010.4
29.1,24.0,35.0,6.867409948542024,114.0,9.9,1010.3
29.5,25.0,35.0,6.867409948542024,98.0,10.2,1009.6
28.9,25.0,33.0,6.867409948542024,92.0,8.1,1009.0
29.4,25.0,36.0,6.867409948542024,89.0,9.4,1008.0
29.1,25.0,33.0,6.867409948542024,113.0,10.5,1007.3
29.0,26.0,35.0,6.867409948542024,108.0,10.1,1007.8
29.3,25.0,34.0,6.867409948542024,113.0,12.5,1008.6
29.1,26.0,34.0,6.867409948542024,131.0,14.7,1008.0
28.7,26.0,33.0,6.867409948542024,145.0,14.5,1008.0
29.1,26.0,34.0,6.867409948542024,146.0,14.7,1008.6
28.7,26.0,32.0,6.867409948542024,158.0,10.5,1010.3
28.2,26.0,32.0,6.867409948542024,142.0,11.7,1009.9
27.6,25.0,34.0,6.867409948542024,149.0,8.2,1010.6
26.4,25.0,32.0,6.867409948542024,338.0,6.9,1011.8
27.6,24.0,33.0,6.867409948542024,359.0,5.7,1012.4
27.6,24.0,32.0,6.867409948542024,29.0,9.0,1012.8
27.4,23.0,33.0,6.867409948542024,39.0,9.8,1012.7
29.1,23.0,35.0,6.867409948542024,63.0,8.8,1012.0
